,O,C,E,A,N,Cluster
0,8.600000000000001,9.4,8.8,9.200000000000001,2.1999999999999997,3
1,5.199999999999999,8.4,4.4,7.0,6.2,2
2,9.0,9.8,7.0,7.6,9.2,1
3,8.2,5.200000000000001,4.4,7.399999999999999,8.6,0
4,6.800000000000001,6.800000000000001,6.8,8.8,5.999999999999999,1
5,6.6,6.199999999999999,3.2,7.199999999999999,4.800000000000001,4
6,8.200000000000001,5.6,9.200000000000001,9.0,4.2,3
7,8.4,8.8,7.799999999999999,8.2,3.0000000000000004,3
8,8.2,8.2,8.999999999999998,9.8,7.0,1
9,8.2,7.999999999999999,3.0,7.0,7.3999999999999995,0
10,8.399999999999999,4.800000000000001,2.5999999999999996,8.2,7.199999999999999,0
11,7.6000000000000005,5.999999999999999,6.0,6.999999999999999,4.8,4
12,7.3999999999999995,7.8,6.799999999999999,9.2,5.800000000000001,2
13,7.8,8.6,3.4000000000000004,6.6000000000000005,8.0,0
14,7.199999999999999,7.999999999999999,5.2,7.999999999999999,5.4,2
15,9.399999999999999,8.399999999999999,5.6,3.3999999999999995,3.7999999999999994,4
16,9.4,7.199999999999999,3.9999999999999996,3.4,5.4,4
17,7.0,6.0,9.2,9.2,7.199999999999998,1
18,7.4,9.2,4.0,6.799999999999999,6.000000000000002,2
19,8.0,6.6,5.6,7.0,6.2,4
20,8.2,5.6,4.199999999999999,8.4,7.2,0
21,9.0,8.200000000000001,6.4,6.800000000000001,4.0,3
22,7.800000000000001,8.4,4.2,8.2,6.799999999999999,2
23,7.6,6.199999999999999,6.599999999999999,8.2,4.4,3
24,7.6,5.0,5.4,7.799999999999999,5.199999999999999,4
25,7.799999999999999,6.999999999999999,4.6,8.2,5.4,2
26,8.8,4.8,8.8,7.0,5.6,1
27,6.199999999999999,6.0,5.6,7.6,5.6,2
28,7.799999999999999,4.0,4.4,7.4,8.2,0
29,7.199999999999999,7.4,6.199999999999999,7.6,3.8000000000000003,2
30,7.199999999999999,5.0,5.4,8.4,7.199999999999999,0
31,9.0,6.199999999999999,5.200000000000001,7.599999999999999,6.399999999999999,2
32,7.199999999999999,7.599999999999999,7.999999999999999,7.6,4.3999999999999995,3
33,9.2,3.2,9.2,9.0,7.8,1
34,5.399999999999999,3.8,3.6000000000000005,5.799999999999999,6.2,0
35,8.4,9.0,5.4,7.4,8.6,2
36,8.8,7.6000000000000005,4.199999999999999,8.2,4.999999999999999,2
37,9.2,7.199999999999999,5.6,8.799999999999999,5.8,2
38,9.0,4.4,4.199999999999999,5.800000000000001,4.800000000000001,4
39,7.8,8.2,4.199999999999999,8.2,5.800000000000001,2
40,10.0,8.399999999999999,9.2,3.6,1.9999999999999998,3
41,7.0,8.0,7.0,8.2,8.2,1
42,7.199999999999999,6.6,4.6,6.599999999999998,6.6,0
43,8.600000000000001,9.600000000000001,9.6,8.0,8.8,1
44,7.6000000000000005,6.599999999999999,4.2,10.0,7.999999999999999,0
45,8.799999999999999,8.2,8.2,8.200000000000001,7.399999999999998,1
46,7.0,6.2,3.1999999999999993,5.0,5.199999999999999,4
47,8.0,9.8,7.999999999999999,8.2,3.6000000000000005,3
48,8.8,3.3999999999999995,1.9999999999999998,7.399999999999999,9.6,0
49,8.6,4.800000000000001,5.6,6.199999999999999,7.799999999999999,0
50,7.199999999999999,6.999999999999999,3.5999999999999996,7.3999999999999995,7.799999999999999,0
51,8.8,4.0,5.0,5.999999999999998,9.6,0
52,8.399999999999999,5.0,6.200000000000001,6.0,7.3999999999999995,1
53,6.3999999999999995,8.8,6.4,9.0,4.800000000000001,2
54,9.2,8.4,7.199999999999999,6.0,6.399999999999999,4
55,6.4,5.4,3.9999999999999996,6.0,7.199999999999999,0
56,7.3999999999999995,6.799999999999999,5.6000000000000005,6.199999999999999,8.799999999999999,0
57,6.800000000000001,4.0,6.0,7.200000000000001,7.4,0
58,9.0,6.999999999999999,3.0,9.2,7.2,2
59,8.8,7.4,8.399999999999999,9.6,7.000000000000001,1
60,7.4,8.8,8.6,9.4,5.800000000000001,3
61,6.4,7.4,7.4,8.4,8.6,1
62,6.799999999999999,4.800000000000001,5.199999999999999,6.0,7.3999999999999995,0
63,8.200000000000001,5.999999999999999,7.799999999999999,9.0,3.7999999999999994,3
64,8.0,8.399999999999999,5.199999999999999,7.399999999999999,3.2000000000000006,2
65,8.0,5.4,6.3999999999999995,8.6,5.800000000000001,2
66,6.800000000000001,5.999999999999999,4.6,8.0,8.4,0
67,7.800000000000001,9.8,7.0,9.2,3.8000000000000003,3
68,6.2,8.399999999999999,6.0,8.0,9.0,0
69,7.799999999999999,5.3999999999999995,7.999999999999999,9.0,6.199999999999999,1
70,7.3999999999999995,6.6000000000000005,7.800000000000001,8.8,4.4,3
